"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","species","age","individual.id","time.to.detect","count","date","pass.id","survey.pass"
1461,38.39316,-82.45343,1,4,1939,1,164,"PO","ECIR","NR",NA,NA,1,"1939-04-01",1,"164_1"
1461,38.39316,-82.45343,1,4,1939,1,165,"PO","ECIR","NR",NA,NA,1,"1939-04-01",1,"165_1"
1461,38.39316,-82.45343,21,2,1945,1,166,"PO","ECIR","NR",NA,NA,1,"1945-02-21",1,"166_1"
1461,38.39316,-82.45343,21,2,1945,1,167,"PO","ECIR","NR",NA,NA,1,"1945-02-21",1,"167_1"
1461,38.39316,-82.45343,21,2,1945,1,168,"PO","ECIR","NR",NA,NA,1,"1945-02-21",1,"168_1"
1461,38.39316,-82.45343,19,10,1946,1,169,"PO","ECIR","NR",NA,NA,1,"1946-10-19",1,"169_1"
810,37.96892,-82.35205,11,5,1947,1,170,"PO","ECIR","NR",NA,NA,1,"1947-05-11",1,"170_1"
810,37.96892,-82.35205,11,5,1947,1,171,"PO","ECIR","NR",NA,NA,1,"1947-05-11",1,"171_1"
1377,38.32842,-82.45213,10,12,1939,1,172,"PO","ECIR","NR",NA,NA,1,"1939-12-10",1,"172_1"
213,37.58192,-81.53731,18,4,1949,1,173,"PO","ECIR","NR",NA,NA,1,"1949-04-18",1,"173_1"
276,37.62716,-81.53834,18,4,1949,1,174,"PO","ECIR","NR",NA,NA,1,"1949-04-18",1,"174_1"
1500,38.40372,-82.43782,5,4,1949,1,175,"PO","ECIR","NR",NA,NA,1,"1949-04-05",1,"175_1"
1461,38.39316,-82.45343,22,3,1949,1,176,"PO","ECIR","NR",NA,NA,1,"1949-03-22",1,"176_1"
1461,38.39316,-82.45343,22,3,1949,1,177,"PO","ECIR","NR",NA,NA,1,"1949-03-22",1,"177_1"
1461,38.39316,-82.45343,22,3,1949,1,178,"PO","ECIR","NR",NA,NA,1,"1949-03-22",1,"178_1"
1887,38.56698,-82.07339,1,5,1951,1,179,"PO","ECIR","NR",NA,NA,1,"1951-05-01",1,"179_1"
1035,38.12005,-82.59794,15,5,1951,1,180,"PO","ECIR","NR",NA,NA,1,"1951-05-15",1,"180_1"
415,37.76845,-80.89092,2,9,1989,1,181,"PO","ECIR","NR",NA,NA,1,"1989-09-02",1,"181_1"
385,37.74873,-80.93176,4,11,1989,1,182,"PO","ECIR","NR",NA,NA,1,"1989-11-04",1,"182_1"
385,37.74873,-80.93176,4,11,1989,1,183,"PO","ECIR","NR",NA,NA,1,"1989-11-04",1,"183_1"
385,37.74873,-80.93176,4,11,1989,1,184,"PO","ECIR","NR",NA,NA,1,"1989-11-04",1,"184_1"
385,37.74873,-80.93176,20,10,1989,1,185,"PO","ECIR","NR",NA,NA,1,"1989-10-20",1,"185_1"
1571,38.41617,-82.2287,27,10,1989,1,186,"PO","ECIR","NR",NA,NA,1,"1989-10-27",1,"186_1"
1571,38.41617,-82.2287,27,10,1989,1,187,"PO","ECIR","NR",NA,NA,1,"1989-10-27",1,"187_1"
417,37.76957,-81.03871,4,10,1990,1,188,"PO","ECIR","NR",NA,NA,1,"1990-10-04",1,"188_1"
417,37.76957,-81.03871,4,10,1990,1,189,"PO","ECIR","NR",NA,NA,1,"1990-10-04",1,"189_1"
417,37.76957,-81.03871,4,10,1990,1,190,"PO","ECIR","NR",NA,NA,1,"1990-10-04",1,"190_1"
417,37.76957,-81.03871,4,10,1990,1,191,"PO","ECIR","NR",NA,NA,1,"1990-10-04",1,"191_1"
417,37.76957,-81.03871,4,10,1990,1,192,"PO","ECIR","NR",NA,NA,1,"1990-10-04",1,"192_1"
417,37.76957,-81.03871,4,10,1990,1,193,"PO","ECIR","NR",NA,NA,1,"1990-10-04",1,"193_1"
459,37.79567,-81.02843,1,8,1990,1,194,"PO","ECIR","NR",NA,NA,1,"1990-08-01",1,"194_1"
1191,38.22,-82.50347,24,4,1979,1,195,"PO","ECIR","NR",NA,NA,1,"1979-04-24",1,"195_1"
501,37.82333,-81.00917,8,8,1990,1,196,"PO","ECIR","NR",NA,NA,1,"1990-08-08",1,"196_1"
