"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","individual.id","time.to.detect","date","survey.pass","species","age","count"
77,42.47747,-71.89168,7,8,2019,1,77,"count",1,NA,NA,"8/7/2019","77_1","DFUS","NR",0
77,42.47747,-71.89168,7,8,2019,1,77,"count",1,NA,NA,"8/7/2019","77_1","EBIS","NR",0
77,42.47747,-71.89168,7,8,2019,1,77,"count",1,NA,NA,"8/7/2019","77_1","GPOR","NR",2
78,42.48101,-71.90645,7,8,2019,1,78,"count",1,NA,NA,"8/7/2019","78_1","DFUS","NR",0
78,42.48101,-71.90645,7,8,2019,1,78,"count",1,NA,NA,"8/7/2019","78_1","EBIS","NR",4
78,42.48101,-71.90645,7,8,2019,1,78,"count",1,NA,NA,"8/7/2019","78_1","GPOR","NR",0
7,42.08129,-72.83618,8,8,2019,1,7,"count",1,NA,NA,"8/8/2019","7_1","DFUS","NR",17
7,42.08129,-72.83618,8,8,2019,1,7,"count",1,NA,NA,"8/8/2019","7_1","EBIS","NR",2
7,42.08129,-72.83618,8,8,2019,1,7,"count",1,NA,NA,"8/8/2019","7_1","GPOR","NR",7
16,42.13128,-72.84413,15,8,2019,1,16,"count",1,NA,NA,"8/15/2019","16_1","DFUS","NR",61
16,42.13128,-72.84413,15,8,2019,1,16,"count",1,NA,NA,"8/15/2019","16_1","EBIS","NR",17
16,42.13128,-72.84413,15,8,2019,1,16,"count",1,NA,NA,"8/15/2019","16_1","GPOR","NR",1
17,42.13227,-72.84358,22,8,2019,1,17,"count",1,NA,NA,"8/22/2019","17_1","DFUS","NR",24
17,42.13227,-72.84358,22,8,2019,1,17,"count",1,NA,NA,"8/22/2019","17_1","EBIS","NR",1
17,42.13227,-72.84358,22,8,2019,1,17,"count",1,NA,NA,"8/22/2019","17_1","GPOR","NR",1
18,42.13932,-72.84247,22,8,2019,1,18,"count",1,NA,NA,"8/22/2019","18_1","DFUS","NR",22
18,42.13932,-72.84247,22,8,2019,1,18,"count",1,NA,NA,"8/22/2019","18_1","EBIS","NR",0
18,42.13932,-72.84247,22,8,2019,1,18,"count",1,NA,NA,"8/22/2019","18_1","GPOR","NR",0
5,42.05191,-72.43192,17,9,2019,1,5,"count",1,NA,NA,"9/17/2019","5_1","DFUS","NR",5
5,42.05191,-72.43192,17,9,2019,1,5,"count",1,NA,NA,"9/17/2019","5_1","EBIS","NR",15
5,42.05191,-72.43192,17,9,2019,1,5,"count",1,NA,NA,"9/17/2019","5_1","GPOR","NR",0
4,42.04662,-72.42963,17,9,2019,1,4,"count",1,NA,NA,"9/17/2019","4_1","DFUS","NR",12
4,42.04662,-72.42963,17,9,2019,1,4,"count",1,NA,NA,"9/17/2019","4_1","EBIS","NR",4
4,42.04662,-72.42963,17,9,2019,1,4,"count",1,NA,NA,"9/17/2019","4_1","GPOR","NR",0
103,42.56881,-72.42865,19,9,2019,1,103,"count",1,NA,NA,"9/19/2019","103_1","DFUS","NR",0
103,42.56881,-72.42865,19,9,2019,1,103,"count",1,NA,NA,"9/19/2019","103_1","EBIS","NR",35
103,42.56881,-72.42865,19,9,2019,1,103,"count",1,NA,NA,"9/19/2019","103_1","GPOR","NR",9
104,42.56917,-72.42883,19,9,2019,1,104,"count",1,NA,NA,"9/19/2019","104_1","DFUS","NR",1
104,42.56917,-72.42883,19,9,2019,1,104,"count",1,NA,NA,"9/19/2019","104_1","EBIS","NR",14
104,42.56917,-72.42883,19,9,2019,1,104,"count",1,NA,NA,"9/19/2019","104_1","GPOR","NR",9
108,42.57737,-72.4352,19,9,2019,1,108,"count",1,NA,NA,"9/19/2019","108_1","DFUS","NR",3
108,42.57737,-72.4352,19,9,2019,1,108,"count",1,NA,NA,"9/19/2019","108_1","EBIS","NR",28
108,42.57737,-72.4352,19,9,2019,1,108,"count",1,NA,NA,"9/19/2019","108_1","GPOR","NR",0
122,42.60078,-72.40731,24,9,2019,1,122,"count",1,NA,NA,"9/24/2019","122_1","DFUS","NR",1
122,42.60078,-72.40731,24,9,2019,1,122,"count",1,NA,NA,"9/24/2019","122_1","EBIS","NR",4
122,42.60078,-72.40731,24,9,2019,1,122,"count",1,NA,NA,"9/24/2019","122_1","GPOR","NR",4
118,42.59668,-72.39958,24,9,2019,1,118,"count",1,NA,NA,"9/24/2019","118_1","DFUS","NR",0
118,42.59668,-72.39958,24,9,2019,1,118,"count",1,NA,NA,"9/24/2019","118_1","EBIS","NR",1
118,42.59668,-72.39958,24,9,2019,1,118,"count",1,NA,NA,"9/24/2019","118_1","GPOR","NR",0
115,42.59332,-72.39825,24,9,2019,1,115,"count",1,NA,NA,"9/24/2019","115_1","DFUS","NR",1
115,42.59332,-72.39825,24,9,2019,1,115,"count",1,NA,NA,"9/24/2019","115_1","EBIS","NR",2
115,42.59332,-72.39825,24,9,2019,1,115,"count",1,NA,NA,"9/24/2019","115_1","GPOR","NR",2
8,42.08867,-72.8647,3,10,2019,1,8,"count",1,NA,NA,"10/3/2019","8_1","DFUS","NR",14
8,42.08867,-72.8647,3,10,2019,1,8,"count",1,NA,NA,"10/3/2019","8_1","EBIS","NR",13
8,42.08867,-72.8647,3,10,2019,1,8,"count",1,NA,NA,"10/3/2019","8_1","GPOR","NR",0
9,42.08904,-72.84543,16,10,2019,1,9,"count",1,NA,NA,"10/16/2019","9_1","DFUS","NR",4
9,42.08904,-72.84543,16,10,2019,1,9,"count",1,NA,NA,"10/16/2019","9_1","EBIS","NR",2
9,42.08904,-72.84543,16,10,2019,1,9,"count",1,NA,NA,"10/16/2019","9_1","GPOR","NR",0
11,42.09846,-72.8499,16,10,2019,1,11,"count",1,NA,NA,"10/16/2019","11_1","DFUS","NR",9
11,42.09846,-72.8499,16,10,2019,1,11,"count",1,NA,NA,"10/16/2019","11_1","EBIS","NR",6
11,42.09846,-72.8499,16,10,2019,1,11,"count",1,NA,NA,"10/16/2019","11_1","GPOR","NR",0
35,42.263357,-73.434145,3,11,2020,1,35,"count",1,NA,NA,"11/3/2020","35_1","DFUS","NR",0
35,42.263357,-73.434145,3,11,2020,1,35,"count",1,NA,NA,"11/3/2020","35_1","EBIS","NR",1
35,42.263357,-73.434145,3,11,2020,1,35,"count",1,NA,NA,"11/3/2020","35_1","GPOR","NR",0
30,42.238278,-73.435897,21,9,2020,1,30,"count",1,NA,NA,"9/21/2020","30_1","DFUS","NR",7
30,42.238278,-73.435897,21,9,2020,1,30,"count",1,NA,NA,"9/21/2020","30_1","EBIS","NR",8
30,42.238278,-73.435897,21,9,2020,1,30,"count",1,NA,NA,"9/21/2020","30_1","GPOR","NR",1
32,42.239029,-73.43621,15,10,2020,1,32,"count",1,NA,NA,"10/15/2020","32_1","DFUS","NR",0
32,42.239029,-73.43621,15,10,2020,1,32,"count",1,NA,NA,"10/15/2020","32_1","EBIS","NR",0
32,42.239029,-73.43621,15,10,2020,1,32,"count",1,NA,NA,"10/15/2020","32_1","GPOR","NR",0
33,42.248265,-73.447809,19,10,2020,1,33,"count",1,NA,NA,"10/19/2020","33_1","DFUS","NR",1
33,42.248265,-73.447809,19,10,2020,1,33,"count",1,NA,NA,"10/19/2020","33_1","EBIS","NR",5
33,42.248265,-73.447809,19,10,2020,1,33,"count",1,NA,NA,"10/19/2020","33_1","GPOR","NR",0
57,42.41045,-72.381149,24,8,2020,1,57,"count",1,NA,NA,"8/24/2020","57_1","DFUS","NR",0
57,42.41045,-72.381149,24,8,2020,1,57,"count",1,NA,NA,"8/24/2020","57_1","EBIS","NR",5
57,42.41045,-72.381149,24,8,2020,1,57,"count",1,NA,NA,"8/24/2020","57_1","GPOR","NR",0
67,42.4296,-72.381172,18,8,2020,1,67,"count",1,NA,NA,"8/18/2020","67_1","DFUS","NR",0
67,42.4296,-72.381172,18,8,2020,1,67,"count",1,NA,NA,"8/18/2020","67_1","EBIS","NR",0
67,42.4296,-72.381172,18,8,2020,1,67,"count",1,NA,NA,"8/18/2020","67_1","GPOR","NR",0
59,42.414386,-72.466767,27,7,2020,1,59,"count",1,NA,NA,"7/27/2020","59_1","DFUS","NR",0
