"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","count","date","survey.pass"
543,39.6875,-77.46875,10,11,2012,1,78,"PO",1,"DFUS","adult",NA,NA,1,"11/10/2012","78_1"
543,39.6875,-77.46875,28,10,2013,1,79,"PO",1,"DFUS","adult",NA,NA,1,"10/28/2013","79_1"
489,39.645834,-77.40625,19,10,2011,1,80,"PO",1,"DFUS","adult",NA,NA,1,"10/19/2011","80_1"
489,39.645834,-77.40625,19,10,2011,1,81,"PO",1,"DFUS","juvenile",NA,NA,1,"10/19/2011","81_1"
488,39.645834,-77.46875,19,10,2011,1,82,"PO",1,"DFUS","adult",NA,NA,1,"10/19/2011","82_1"
488,39.645834,-77.46875,17,7,2012,1,83,"PO",1,"DFUS","adult",NA,NA,1,"7/17/2012","83_1"
488,39.645834,-77.46875,10,7,2013,1,84,"PO",1,"DFUS","adult",NA,NA,1,"7/10/2013","84_1"
488,39.645834,-77.46875,10,7,2013,1,85,"PO",1,"DFUS","adult",NA,NA,1,"7/10/2013","85_1"
67,38.895834,-76.65625,24,1,2012,1,86,"PO",1,"DFUS","adult",NA,NA,1,"1/24/2012","86_1"
52,38.645834,-76.78125,30,3,2012,1,87,"PO",1,"DFUS","adult",NA,NA,1,"3/30/2012","87_1"
61,38.8125,-76.71875,2,11,2013,1,88,"PO",1,"DFUS","adult",NA,NA,1,"11/2/2013","88_1"
61,38.8125,-76.71875,24,1,2012,1,89,"PO",1,"DFUS","adult",NA,NA,1,"1/24/2012","89_1"
165,39.270834,-77.40625,12,10,2011,1,90,"PO",1,"DFUS","adult",NA,NA,1,"10/12/2011","90_1"
165,39.270834,-77.40625,6,2,2012,1,91,"PO",1,"DFUS","adult",NA,NA,1,"2/6/2012","91_1"
165,39.270834,-77.40625,13,11,2012,1,92,"PO",1,"DFUS","adult",NA,NA,1,"11/13/2012","92_1"
165,39.270834,-77.40625,13,11,2012,1,93,"PO",1,"DFUS","juvenile",NA,NA,1,"11/13/2012","93_1"
165,39.270834,-77.40625,16,5,2014,1,94,"PO",1,"DFUS","adult",NA,NA,1,"5/16/2014","94_1"
394,39.5625,-77.40625,17,8,2011,1,95,"PO",1,"DFUS","adult",NA,NA,1,"8/17/2011","95_1"
393,39.5625,-77.46875,2,1,2013,1,96,"PO",1,"DFUS","adult",NA,NA,1,"1/2/2013","96_1"
393,39.5625,-77.46875,12,10,2011,1,97,"PO",1,"DFUS","adult",NA,NA,1,"10/12/2011","97_1"
393,39.5625,-77.46875,30,11,2011,1,98,"PO",1,"DFUS","adult",NA,NA,1,"11/30/2011","98_1"
393,39.5625,-77.46875,30,12,2012,1,99,"PO",1,"DFUS","adult",NA,NA,1,"12/30/2012","99_1"
440,39.604166,-77.40625,16,2,2014,1,100,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","100_1"
439,39.604166,-77.46875,2,1,2013,1,101,"PO",1,"DFUS","adult",NA,NA,1,"1/2/2013","101_1"
439,39.604166,-77.46875,19,10,2011,1,102,"PO",1,"DFUS","adult",NA,NA,1,"10/19/2011","102_1"
439,39.604166,-77.46875,19,10,2011,1,103,"PO",1,"DFUS","juvenile",NA,NA,1,"10/19/2011","103_1"
350,39.520834,-77.46875,19,10,2011,1,104,"PO",1,"DFUS","adult",NA,NA,1,"10/19/2011","104_1"
350,39.520834,-77.46875,13,11,2011,1,105,"PO",1,"DFUS","adult",NA,NA,1,"11/13/2011","105_1"
350,39.520834,-77.46875,30,12,2012,1,106,"PO",1,"DFUS","adult",NA,NA,1,"12/30/2012","106_1"
350,39.520834,-77.46875,30,10,2013,1,107,"PO",1,"DFUS","adult",NA,NA,1,"10/30/2013","107_1"
534,39.6875,-78.03125,29,4,2013,1,108,"PO",1,"DFUS","adult",NA,NA,1,"4/29/2013","108_1"
590,39.729166,-78.03125,14,9,2014,1,109,"PO",1,"DFUS","adult",NA,NA,1,"9/14/2014","109_1"
589,39.729166,-78.09375,14,9,2014,1,110,"PO",1,"DFUS","adult",NA,NA,1,"9/14/2014","110_1"
158,39.229166,-76.03125,21,12,2011,1,111,"PO",1,"DFUS","juvenile",NA,NA,1,"12/21/2011","111_1"
138,39.1875,-76.90625,13,12,2011,1,112,"PO",1,"DFUS","adult",NA,NA,1,"12/13/2011","112_1"
137,39.1875,-76.96875,25,12,2011,1,113,"PO",1,"DFUS","adult",NA,NA,1,"12/25/2011","113_1"
153,39.229166,-76.90625,25,12,2011,1,114,"PO",1,"DFUS","adult",NA,NA,1,"12/25/2011","114_1"
153,39.229166,-76.90625,27,10,2012,1,115,"PO",1,"DFUS","adult",NA,NA,1,"10/27/2012","115_1"
152,39.229166,-76.96875,25,12,2011,1,116,"PO",1,"DFUS","adult",NA,NA,1,"12/25/2011","116_1"
126,39.145834,-76.90625,13,12,2011,1,117,"PO",1,"DFUS","adult",NA,NA,1,"12/13/2011","117_1"
126,39.145834,-76.90625,13,12,2011,1,118,"PO",1,"DFUS","adult",NA,NA,1,"12/13/2011","118_1"
126,39.145834,-76.90625,25,12,2011,1,119,"PO",1,"DFUS","adult",NA,NA,1,"12/25/2011","119_1"
125,39.145834,-76.96875,13,12,2011,1,120,"PO",1,"DFUS","adult",NA,NA,1,"12/13/2011","120_1"
535,39.6875,-77.96875,4,12,2012,1,121,"PO",1,"DFUS","adult",NA,NA,1,"12/4/2012","121_1"
535,39.6875,-77.96875,14,5,2012,1,122,"PO",1,"DFUS","adult",NA,NA,1,"5/14/2012","122_1"
592,39.729166,-77.90625,9,6,2013,1,123,"PO",1,"DFUS","adult",NA,NA,1,"6/9/2013","123_1"
592,39.729166,-77.90625,4,5,2014,1,124,"PO",1,"DFUS","adult",NA,NA,1,"5/4/2014","124_1"
591,39.729166,-77.96875,22,3,2014,1,125,"PO",1,"DFUS","adult",NA,NA,1,"3/22/2014","125_1"
287,39.4375,-76.65625,21,1,2015,1,126,"PO",1,"DFUS","adult",NA,NA,1,"1/21/2015","126_1"
286,39.4375,-76.71875,16,2,2014,1,127,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","127_1"
324,39.479166,-76.65625,1,11,2011,1,128,"PO",1,"DFUS","adult",NA,NA,1,"11/1/2011","128_1"
323,39.479166,-76.71875,2,11,2011,1,129,"PO",1,"DFUS","adult",NA,NA,1,"11/2/2011","129_1"
323,39.479166,-76.71875,1,11,2011,1,130,"PO",1,"DFUS","egg mass",NA,NA,1,"11/1/2011","130_1"
323,39.479166,-76.71875,1,11,2011,1,131,"PO",1,"DFUS","adult",NA,NA,1,"11/1/2011","131_1"
323,39.479166,-76.71875,1,11,2011,1,132,"PO",1,"DFUS","juvenile",NA,NA,1,"11/1/2011","132_1"
563,39.6875,-76.15625,14,6,2013,1,133,"PO",1,"DFUS","adult",NA,NA,1,"6/14/2013","133_1"
562,39.6875,-76.21875,19,8,2014,1,134,"PO",1,"DFUS","juvenile",NA,NA,1,"8/19/2014","134_1"
617,39.729166,-76.15625,18,6,2014,1,135,"PO",1,"DFUS","adult",NA,NA,1,"6/18/2014","135_1"
