"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","date","count","survey.pass"
37,42.387,-73.2353,NA,NA,1988,1,110,"PO",1,"GPOR","NR",NA,NA,NA,1,"110_1"
23,42.2626,-73.2504,NA,NA,1988,1,111,"PO",1,"GPOR","NR",NA,NA,NA,1,"111_1"
20,42.2437,-72.6479,NA,NA,1957,1,112,"PO",1,"GPOR","adult",NA,NA,NA,1,"112_1"
20,42.2437,-72.6479,7,4,1991,1,113,"PO",1,"GPOR","adult",NA,NA,"4/7/1991",1,"113_1"
30,42.3437,-71.8128,27,4,1982,1,114,"PO",1,"GPOR","NR",NA,NA,"4/27/1982",1,"114_1"
123,42.6593,-72.0792,11,5,1990,1,115,"PO",1,"GPOR","NR",NA,NA,"5/11/1990",1,"115_1"
102,42.6154,-72.8037,2,8,1995,1,116,"PO",1,"GPOR","juvenile",NA,NA,"8/2/1995",1,"116_1"
22,42.25980983,-73.28316304,NA,NA,1988,1,117,"PO",1,"GPOR","NR",NA,NA,NA,1,"117_1"
25,42.2707,-73.2743,13,5,2001,1,118,"PO",1,"GPOR","larva",NA,NA,"5/13/2001",1,"118_1"
25,42.2707,-73.2743,13,5,2001,1,119,"PO",1,"GPOR","larva",NA,NA,"5/13/2001",1,"119_1"
21,42.25781302,-73.28459605,23,8,2005,1,120,"PO",1,"GPOR","adult",NA,NA,"8/23/2005",1,"120_1"
19,42.2032,-73.2526,20,5,1987,1,121,"PO",1,"GPOR","NR",NA,NA,"5/20/1987",1,"121_1"
19,42.2032,-73.2526,20,5,1987,1,122,"PO",1,"GPOR","NR",NA,NA,"5/20/1987",1,"122_1"
19,42.2032,-73.2526,23,8,2005,1,123,"PO",1,"GPOR","larva",NA,NA,"8/23/2005",1,"123_1"
19,42.2032,-73.2526,23,8,2005,1,124,"PO",1,"GPOR","larva",NA,NA,"8/23/2005",1,"124_1"
96,42.5968,-73.0104,23,10,1993,1,125,"PO",1,"GPOR","larva",NA,NA,"10/23/1993",1,"125_1"
