"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"96","Museum279",45.032634,-69.853568,"Maine","Museum",1851,"2013-10-04",4,10,2013,1,96,1,"96_1","PO","GPOR","NR",NA,NA,1
"97","Museum311",46.246521,-69.718209,"Maine","Museum",1851,"2014-07-12",12,7,2014,1,97,1,"97_1","PO","GPOR","NR",NA,NA,1
"98","Museum300",45.440441,-69.074402,"Maine","Museum",1851,"2008-08-03",3,8,2008,1,98,1,"98_1","PO","GPOR","NR",NA,NA,1
"99","Museum286",45.095849,-69.958508,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,99,1,"99_1","PO","GPOR","NR",NA,NA,1
"100","Museum288",45.108778,-70.010727,"Maine","Museum",1851,"2008-09-18",18,9,2008,1,100,1,"100_1","PO","GPOR","NR",NA,NA,1
"101","Museum305",45.485628,-69.6709,"Maine","Museum",1851,"2008-09-04",4,9,2008,1,101,1,"101_1","PO","GPOR","NR",NA,NA,1
"102","Museum250",44.637208,-70.416659,"Maine","Museum",1851,"2008-10-09",9,10,2008,1,102,1,"102_1","PO","GPOR","NR",NA,NA,1
"103","Museum273",44.93715,-70.066509,"Maine","Museum",1851,"2008-09-18",18,9,2008,1,103,1,"103_1","PO","GPOR","NR",NA,NA,1
"104","Museum252",44.648602,-70.605405,"Maine","Museum",8041,"2008-10-12",12,10,2008,1,104,1,"104_1","PO","GPOR","NR",NA,NA,1
"105","Museum289",45.14382,-69.627949,"Maine","Museum",1851,"2013-10-04",4,10,2013,1,105,1,"105_1","PO","GPOR","NR",NA,NA,1
"106","Museum255",44.664208,-68.827103,"Maine","Museum",1851,"2014-06-24",24,6,2014,1,106,1,"106_1","PO","GPOR","NR",NA,NA,1
"107","Museum308",45.906972,-69.986774,"Maine","Museum",1851,"2014-07-11",11,7,2014,1,107,1,"107_1","PO","GPOR","NR",NA,NA,1
"108","Museum303",45.469564,-70.396578,"Maine","Museum",1851,"2008-09-03",3,9,2008,1,108,1,"108_1","PO","GPOR","NR",NA,NA,1
"109","Museum257",44.692136,-70.471737,"Maine","Museum",1851,"2008-10-09",9,10,2008,1,109,1,"109_1","PO","GPOR","NR",NA,NA,1
"110","Museum283",45.075384,-70.116477,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,110,1,"110_1","PO","GPOR","NR",NA,NA,1
"111","Museum111",35.1735,-83.5733,"North Carolina","Museum",2258,"1995-08-02",2,8,1995,1,111,1,"111_1","PO","GPOR","NR",NA,NA,1
"112","Museum50",35.0116,-83.2492,"North Carolina","Museum",349,"1995-07-31",31,7,1995,1,112,1,"112_1","PO","GPOR","NR",NA,NA,1
"113","Museum98",35.0873,-83.221,"North Carolina","Museum",9683,"1995-07-29",29,7,1995,1,113,1,"113_1","PO","GPOR","NR",NA,NA,1
"114","Museum110",35.1733,-83.574,"North Carolina","Museum",349,"1994-06-20",20,6,1994,1,114,1,"114_1","PO","GPOR","NR",NA,NA,1
"115","Museum95",35.0808,-83.1383,"North Carolina","Museum",188,"1995-08-02",2,8,1995,1,115,1,"115_1","PO","GPOR","NR",NA,NA,1
"116","Museum106",35.1545,-83.6043,"North Carolina","Museum",1637,"1995-08-01",1,8,1995,1,116,1,"116_1","PO","GPOR","NR",NA,NA,1
"117","Museum195",40.6797,-78.94721,"Pennsylvania","Museum",2799,"1995-03-27",27,3,1995,1,117,1,"117_1","PO","GPOR","NR",NA,NA,1
"118","Museum112",35.1803,-83.5606,"North Carolina","Museum",188,"1995-08-02",2,8,1995,1,118,1,"118_1","PO","GPOR","NR",NA,NA,1
"119","Museum189",39.52196,-81.18101,"Ohio","Museum",10,"2020-03-14",14,3,2020,1,119,1,"119_1","PO","GPOR","NR",NA,NA,1
"120","Museum99",35.103889,-85.430833,"Tennessee","Museum",223,"2004-03-05",5,3,2004,1,120,1,"120_1","PO","GPOR","NR",NA,NA,1
"121","Museum119",35.467222,-86.187778,"Tennessee","Museum",64,"2003-04-19",19,4,2003,1,121,1,"121_1","PO","GPOR","NR",NA,NA,1
"122","Museum120",35.490556,-85.179722,"Tennessee","Museum",7,"2014-10-29",29,10,2014,1,122,1,"122_1","PO","GPOR","NR",NA,NA,1
"123","Museum108",35.160472,-88.347944,"Tennessee","Museum",1230,"1998-03-07",7,3,1998,1,123,1,"123_1","PO","GPOR","NR",NA,NA,1
"124","Museum150",36.339167,-83.945278,"Tennessee","Museum",2800,"2005-04-03",3,4,2005,1,124,1,"124_1","PO","GPOR","NR",NA,NA,1
"125","Museum152",36.353611,-84.735,"Tennessee","Museum",208,"2001-04-12",12,4,2001,1,125,1,"125_1","PO","GPOR","NR",NA,NA,1
"126","Museum153",36.358333,-84.871944,"Tennessee","Museum",706,"2001-04-20",20,4,2001,1,126,1,"126_1","PO","GPOR","NR",NA,NA,1
"127","Museum149",36.245278,-84.117222,"Tennessee","Museum",629,"2006-01-04",4,1,2006,1,127,1,"127_1","PO","GPOR","NR",NA,NA,1
"128","Museum156",36.531389,-84.766667,"Tennessee","Museum",142,"2000-06-05",5,6,2000,1,128,1,"128_1","PO","GPOR","NR",NA,NA,1
"129","Museum158",36.600556,-84.782778,"Tennessee","Museum",64,"2001-04-12",12,4,2001,1,129,1,"129_1","PO","GPOR","NR",NA,NA,1
"130","Museum163",36.69,-80.44,"","Museum",NA,"2017-10-14",14,10,2017,1,130,1,"130_1","PO","GPOR","NR",NA,NA,1
"131","Museum159",36.65,-81.58,"","Museum",NA,"2017-06-30",30,6,2017,1,131,1,"131_1","PO","GPOR","NR",NA,NA,1
