strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170300020101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020105,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020106,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020107,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020108,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020109,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020203,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020205,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020206,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020207,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020208,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020302,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020303,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020307,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020308,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020309,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020310,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020311,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300020312,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300030101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300030102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300030103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300030104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
