"SSAR.scientific","SSAR.common","spp.type","DS.code","all.codes","SSAR.names","IUCN.scientific","iNat.scientific"
"Dicamptodon copei","Cope's Giant Salamander","Salamander","DICO","DICO","Dicamptodon copei","Dicamptodon copei","Dicamptodon copei"
"Dicamptodon ensatus","California Giant Salamander","Salamander","DIEN","DIEN","Dicamptodon ensatus","Dicamptodon ensatus","Dicamptodon ensatus"
"Dicamptodon tenebrosus","Coastal Giant Salamander","Salamander","DITE","DITE","Dicamptodon tenebrosus","Dicamptodon tenebrosus","Dicamptodon tenebrosus"
"Dryophytes andersonii","Pine Barrens Treefrog","Frog/Toad","HYAN","HYAN","Dryophytes andersonii","Dryophytes andersonii","Hyla andersonii"
"Dryophytes arenicolor","Canyon Treefrog","Frog/Toad","HYAR","HYAR","Dryophytes arenicolor","Dryophytes arenicolor","Hyla arenicolor"
"Dryophytes avivoca","Bird-voiced Treefrog","Frog/Toad","HYAV","HYAV|HYAVAV|HYAVOG","Dryophytes avivoca, Dryophytes avivoca avivoca, Dryophytes avivoca ogechiensis","Dryophytes avivoca","Hyla avivoca, Dryophytes avivoca avivoca, Dryophytes avivoca ogechiensis"
"Dryophytes chrysoscelis","Cope's Gray Treefrog","Frog/Toad","HYCH","HYCH","Dryophytes chrysoscelis","Dryophytes chrysoscelis","Hyla chrysoscelis"
"Dryophytes cinereus","American Green Treefrog","Frog/Toad","HYCI","HYCI","Dryophytes cinereus","Dryophytes cinereus","Hyla cinerea"
"Dryophytes femoralis","Pine Wood Treefrog","Frog/Toad","HYFE","HYFE","Dryophytes femoralis","Dryophytes femoralis","Hyla femoralis"
"Dryophytes gratiosus","Barking Treefrog","Frog/Toad","HYGR","HYGR","Dryophytes gratiosus","Dryophytes gratiosus","Hyla gratiosa"
"Dryophytes squirellus","Squirrel Treefrog","Frog/Toad","HYSQ","HYSQ","Dryophytes squirellus","Dryophytes squirellus","Hyla squirella"
"Dryophytes versicolor","Gray Treefrog","Frog/Toad","HYVE","HYVE","Dryophytes versicolor","Dryophytes versicolor","Hyla versicolor"
