strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030701030804,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030901,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030902,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030903,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031001,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031002,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031003,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031004,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031005,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031006,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031105,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031106,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031302,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031303,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031304,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031305,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031306,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031307,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031404,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031405,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031406,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031501,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031502,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031503,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031504,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031505,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031601,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031602,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031603,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031604,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701031605,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010105,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010106,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010205,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010206,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010302,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010303,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010304,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010305,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010404,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010501,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010502,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010503,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010504,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010505,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010601,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010602,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
