strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010200050202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050205,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050206,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050207,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050208,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050306,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050308,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050309,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050310,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050311,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050401,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050403,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050404,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050407,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050408,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050501,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050502,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050503,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050504,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050505,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050506,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050507,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050508,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050509,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
